Title;Description;Tools;Specialization
Precision Pest Management System for Urban Gardens;A web-based platform allowing urban gardeners to monitor and manage pest infestations via image uploads processed with a YOLOv5 model for insect identification. The backend manages crop data and triggers real-time recommendations, while the frontend provides actionable visual reports. Microcontroller-driven IoT sensors capture environmental data to adjust pest control strategies dynamically.;React, Node.js (Express), MongoDB, Python (PyTorch YOLOv5), ESP32 (IoT sensor), MQTT, Docker;Frontend Development, Backend Development, AI (Computer Vision), IoT
Smart Greenhouse Environment Control System;A web-based platform that enables users to monitor and adjust greenhouse environmental parameters such as temperature, humidity, and soil moisture via real-time sensor data collected from embedded IoT devices. The backend processes sensor inputs and implements control algorithms to automate actuators (fans, sprinklers, heaters), while the frontend offers dashboards and manual override controls for agricultural workers.;React, Node.js, Express, MQTT, Raspberry Pi with DHT22 and soil moisture sensors, PostgreSQL, Docker;Frontend and Backend Development with IoT Integration
Smart Indoor Air Quality Monitoring System;The system integrates IoT sensors deployed in indoor spaces to continuously collect data on pollutants like CO2, PM2.5, and VOCs. A backend analyzes sensor readings, tracks historical air quality trends, and triggers notifications when parameters exceed safe thresholds. The frontend provides facility managers with real-time dashboards, air quality reports, and control interfaces for connected air filtration devices.;React.js, Node.js, Express, MongoDB, MQTT Broker, Arduino with air quality sensors, Docker;IoT Development with Fullstack Web Application
Smart Fleet Maintenance Scheduler;The system monitors vehicle telemetry via IoT sensors and schedules maintenance tasks automatically to reduce downtime. It features a frontend dashboard for fleet managers to track vehicle status and maintenance history, while the backend processes sensor data and optimizes service intervals using rule-based logic. Integration with third-party SMS gateways enables automated service reminders to drivers.;React, Node.js, PostgreSQL, MQTT broker, Express.js, Docker, Twilio API;Frontend Development, Backend Development, IoT Integration
Smart Inventory Management System for Urban Vertical Farms;This system enables real-time tracking and automated restocking of hydroponic crops using sensor inputs integrated with cloud-hosted databases. The frontend dashboard visualizes crop growth metrics and inventory levels, while the backend processes sensor data and triggers supply chain alerts. Users such as farm managers and suppliers interact with the platform to optimize resource allocation and reduce waste.;React, Node.js, Express, MongoDB, MQTT, AWS IoT Core, Docker;Frontend Development, Backend Development, IoT Integration, Cloud Computing
SmartHydro: IoT-Enabled Remote Irrigation Management System;SmartHydro integrates soil moisture sensors with a web dashboard to monitor and control agricultural irrigation remotely. The frontend visualizes real-time sensor data and allows scheduling irrigation via the backend, which communicates with embedded microcontrollers to actuate water valves. Data storage and user authentication are handled through a centralized server.;React, Node.js, Express, MongoDB, MQTT, Arduino with soil moisture sensors and relay modules;Full-Stack Development with IoT Integration
Smart Fleet Management Dashboard;A web application managing real-time tracking and scheduling of commercial vehicles using GPS data. The frontend visualizes vehicle locations and routes on interactive maps, while the backend processes telemetry data and optimizes maintenance alerts based on mileage thresholds.;React, Leaflet.js, Node.js, Express, MongoDB, WebSocket;Frontend Development, Backend Development, IoT Integration
Smart Inventory Management System for Small Retailers;This web application allows small retail businesses to monitor stock levels, track product movement, and receive automated reorder alerts based on threshold rules. The backend API manages inventory data and integrates live sales inputs, while the frontend provides real-time dashboards and reporting interfaces tailored for store managers. User authentication and role-based access controls ensure secure multi-user operations.;React, Node.js, Express, MongoDB, JWT Authentication, Chart.js;Full-Stack Web Development
SmartGreenhouse Monitoring and Control System;This system integrates sensor data from a network of IoT devices deployed in a greenhouse to monitor temperature, humidity, and soil moisture levels in real-time. The frontend dashboard visualizes environmental data and allows users to configure automated irrigation and climate controls, while the backend manages data storage, device communication, and command scheduling via RESTful APIs.;React.js, Node.js with Express, MongoDB, MQTT protocol, Raspberry Pi, DHT22 sensors, soil moisture sensors, Docker;Frontend Development, Backend Development, IoT
MediTrack: IoT-Enabled Medication Compliance System;MediTrack is a web platform paired with smart pillbox devices to monitor and encourage patients' timely medication intake. The backend aggregates sensor data from IoT-enabled pillboxes and provides alerts and analytics via a responsive React interface for patients and healthcare providers. Real-time communication is handled through MQTT, enabling status updates and compliance notifications.;React, Node.js, Express, MongoDB, MQTT, Embedded C, ESP32, Docker;Frontend Development, Backend Development, IoT, Embedded Systems
Smart Inventory Control for Organic Farms;This system manages real-time stock levels and reorder scheduling for organic farm products. It features a React frontend dashboard linked to a Node.js API that processes inventory updates and forecasts demand using simple historical data analytics. Weather sensor data from Raspberry Pi devices is integrated to adjust supply estimates automatically.;React, Node.js, Express, PostgreSQL, Raspberry Pi, REST API;Full Stack Development with Embedded Systems Integration
Smart Irrigation Scheduler;A web platform allowing farmers to monitor soil moisture data from IoT sensors and schedule irrigation cycles accordingly. The backend collects real-time sensor data via MQTT and stores it in a time-series database, while the frontend visualizes moisture trends and system status. Automated notifications alert users when moisture thresholds are crossed to optimize water usage.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi with Soil Moisture Sensors, Chart.js;Frontend Development, Backend Development, IoT Integration
VetTrack: Animal Health Monitoring and Appointment Scheduling System;VetTrack is a platform that allows veterinary clinics to manage patient records, schedule appointments, and track animal vaccination history. The frontend offers an intuitive dashboard for vets and pet owners, while the backend manages appointment slots, medical data storage, and notification services via RESTful APIs.;"Frontend: React, Tailwind CSS; Backend: Node.js, Express, MongoDB; Notifications: Firebase Cloud Messaging";Frontend Development, Backend Development
FarmStand Inventory and Sales Management System;This web platform enables small-scale farmers to track crop inventory, manage sales orders, and monitor supply chain logistics in real time. The frontend provides an intuitive dashboard for inventory updates and order input, while the backend handles data storage, user authentication, and generates sales reports. Integration with Firebase Cloud Messaging supports push notifications for order status updates.;React, Node.js, Express, MongoDB, Firebase Cloud Messaging;Frontend Development, Backend Development, Cloud Computing
CropSense: Precision Irrigation Management System;CropSense integrates real-time soil moisture sensors with a web-based dashboard to optimize irrigation schedules for small to medium-scale farms. The backend aggregates sensor data to predict watering needs, while the frontend visualizes farm zones and allows manual overrides. The system enhances water efficiency by providing actionable irrigation insights based on live environmental data.;React.js, Node.js, Express, MongoDB, MQTT, Raspberry Pi, Soil Moisture Sensors, Docker;Frontend and Backend Development with IoT Integration
